"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user can login first, add products to cart, checkout, pay, and delete account","10388","Should login user, add products and place order successfully","TC_016 - Place Order: Login before Checkout","Thu Dec 25 15:46:48 UTC 2025","passed","Thu Dec 25 15:46:58 UTC 2025","","","",""
"Validates the entire flow of submitting the Contact Us form, including file upload, success message verification, and navigation back to the Home Page.","4662","Should submit Contact Us form successfully and return to home page","TC_006 - Contact Us Flow Test","Thu Dec 25 15:45:14 UTC 2025","passed","Thu Dec 25 15:45:19 UTC 2025","","","",""
"Add a product with quantity 4 and verify the cart shows quantity correctly","3028","Should add product with exact quantity to cart","TC_013 - Verify Product quantity in Cart","Thu Dec 25 15:45:55 UTC 2025","passed","Thu Dec 25 15:45:58 UTC 2025","","","",""
"Validates that an error message appears when attempting to register with an already registered email address.","2650","Should display error when registering with an existing email","TC_005 - Registration Flow Test","Thu Dec 25 15:45:08 UTC 2025","passed","Thu Dec 25 15:45:11 UTC 2025","","","",""
"Verify subscribing via footer on the Cart page shows success message","2337","Should subscribe successfully via footer in Cart page","TC_011 - Verify Subscription in Cart Page","Thu Dec 25 15:45:44 UTC 2025","passed","Thu Dec 25 15:45:46 UTC 2025","","","",""
"Navigate to All Products page, open a product detail and verify details are visible","2202","Should navigate to Products page and verify product details","TC_008 - Verify All Products & Product Detail Page","Thu Dec 25 15:45:28 UTC 2025","passed","Thu Dec 25 15:45:30 UTC 2025","","","",""
"Adds two products to the cart then verifies both items and their details","2622","Should add products to cart and verify details","TC_012 - Add Products in Cart","Thu Dec 25 15:45:49 UTC 2025","passed","Thu Dec 25 15:45:52 UTC 2025","","","",""
"Verify that products can be removed from cart successfully","5045","Should add products to cart and remove them successfully","TC_017 - Remove Products From Cart","Thu Dec 25 15:47:02 UTC 2025","passed","Thu Dec 25 15:47:07 UTC 2025","","","",""
"Validates user registration followed by account deletion","15879","Should register while checkout and place order successfully","TC_014 - Place Order: Register while Checkout","Thu Dec 25 15:46:02 UTC 2025","passed","Thu Dec 25 15:46:18 UTC 2025","","","",""
"","92","DELETE /todos/1 - should delete a todo","JSONPlaceholder API Test","Thu Dec 25 15:47:23 UTC 2025","passed","Thu Dec 25 15:47:23 UTC 2025","","","",""
"","169","GET /todos/1 - should return a todo item","JSONPlaceholder API Test","Thu Dec 25 15:47:22 UTC 2025","passed","Thu Dec 25 15:47:23 UTC 2025","","","",""
"Validates that the Test Cases page is accessible through the navigation menu.","1784","Should navigate to Test Cases page successfully","TC_007 - Navigate to Test Cases Page","Thu Dec 25 15:45:22 UTC 2025","passed","Thu Dec 25 15:45:24 UTC 2025","","","",""
"Verify user can subscribe via footer and see success message","2166","Should subscribe successfully via footer","TC_010 - Verify Subscription in Footer","Thu Dec 25 15:45:39 UTC 2025","passed","Thu Dec 25 15:45:41 UTC 2025","","","",""
"Validates user registration followed by account deletion","9475","TC_001 - Should register and delete user successfully","TC_001 - Registration Flow Test","Thu Dec 25 15:44:34 UTC 2025","passed","Thu Dec 25 15:44:43 UTC 2025","","","",""
"","3328","Should login and delete user successfully","TC_002 - Login Flow Test","Thu Dec 25 15:44:47 UTC 2025","passed","Thu Dec 25 15:44:50 UTC 2025","","","",""
"Verify that clicking category and subcategory navigates correctly","1896","Should view category products correctly","TC_018 - View Category Products","Thu Dec 25 15:47:11 UTC 2025","passed","Thu Dec 25 15:47:13 UTC 2025","","","",""
"","238","POST /todos - should create a new todo","JSONPlaceholder API Test","Thu Dec 25 15:47:23 UTC 2025","passed","Thu Dec 25 15:47:23 UTC 2025","","","",""
"Validates that user cannot login with incorrect username or password","2244","Should NOT login with incorrect email and password","TC_003 - Login Flow Test - Negative","Thu Dec 25 15:44:54 UTC 2025","passed","Thu Dec 25 15:44:56 UTC 2025","","","",""
"Validates user registration followed by account deletion","19744","Should register user, add products and place order successfully","TC_015 - Place Order: Register before Checkout","Thu Dec 25 15:46:23 UTC 2025","passed","Thu Dec 25 15:46:42 UTC 2025","","","",""
"","237","PUT /todos/1 - should update a todo","JSONPlaceholder API Test","Thu Dec 25 15:47:23 UTC 2025","passed","Thu Dec 25 15:47:23 UTC 2025","","","",""
"Verify that user can view products by brands","2882","Should view brand products and navigate between brands","TC_019 - View & Cart Brand Products","Thu Dec 25 15:47:16 UTC 2025","passed","Thu Dec 25 15:47:19 UTC 2025","","","",""
"Search for a product by name and verify the results page and items","2226","Should search a product and verify search results","TC_009 - Search Product Functionality","Thu Dec 25 15:45:33 UTC 2025","passed","Thu Dec 25 15:45:35 UTC 2025","","","",""
"Validates that a logged-in user can logout and is returned to the login page","5052","Should login and logout user successfully","TC_004 - Logout Flow Test","Thu Dec 25 15:44:59 UTC 2025","passed","Thu Dec 25 15:45:04 UTC 2025","","","",""
